task_ID,pickup_x_loc,pickup_y_loc,pickup_speed_limit,dropoff_x_loc,dropoff_y_loc,dropoff_speed_limit,package_size,payment,min_QoS,min_Rep,cluster,euclidean_distance,AVG_Commulative_Distance,ETA_AV,ETA_GV,submission_timestamp,,,,,
21,7500,7500,40,1612.72066,4839.886116,60,1,10,0.5,0.6,1,6460.360972987252,6460.360972987252,3.8762165760399183,6.368070083750091,37:57.8,,,,,
92,7500,7500,40,1860.651713,3943.734185,60,1,5,0.5,0.6,1,6667.0289974375255,6563.694985212389,4.000217390462081,6.571785707269029,38:07.8,,x,85.36466433,14758.75089,14673.38622
87,7500,7500,40,14053.19385,2754.27756,80,1,5,0.5,0.6,3,8091.120512945352,7072.836827790044,4.854672298057866,7.975533054258894,38:17.8,,y,68.25845011,14907.51091,14839.25246
6,7500,7500,40,2100.396033,1758.191954,80,1,10,0.5,0.6,1,7881.883190936953,7275.098419,4.729129905103911,7.769284837439895,38:27.8,,,,,
81,7500,7500,40,14423.12616,12462.22133,100,1,5,0.5,0.6,0,8517.823449660576,7523.643425,5.110694059574958,8.396140233533595,38:37.8,,,,,
45,7500,7500,40,969.0735606,3282.399547,60,1,5,0.5,0.6,1,7774.390891946994,7565.434669319108,4.6646345258389275,7.663328143023956,38:47.8,,,,,
54,7500,7500,40,10309.62189,4724.697836,60,1,5,0.5,0.6,3,3949.212231,7048.831463866581,2.3695273339517913,3.8927949024412607,38:57.8,,,,,
25,7500,7500,40,10070.24674,14685.0816,80,1,5,0.5,0.6,0,7630.961009,7121.5976570080475,4.578576596241838,7.521947258807065,39:07.8,,,,,
97,7500,7500,40,3432.120791,1700.185786,100,1,10,0.5,0.6,1,7084.171523,7117.439197718448,4.250502905539984,6.982969053115999,39:17.8,,,,,
44,7500,7500,40,13974.29371,6299.180854,100,1,5,0.5,0.6,3,6584.713032983669,7064.166581,3.9508278118885456,6.490645685396343,39:27.8,,,,,
43,7500,7500,40,9507.747606,3993.516044,100,1,5,0.5,0.6,3,4040.6039380385005,6789.297250044383,2.4243623579743754,3.982881013,39:37.8,,,,,
15,7500,7500,40,3432.120791,1700.185786,100,1,10,0.5,0.6,1,7084.171523,6813.8701061574875,4.250502905539984,6.982969053115999,39:47.8,,,,,
93,7500,7500,40,883.796044,12581.29275,60,1,10,0.5,0.6,2,8342.283307146887,6931.440352387442,5.005369974277392,8.223107807835909,39:57.8,,,,,
74,7500,7500,40,13356.43417,9188.967159,100,1,5,0.5,0.6,0,6095.115359565316,6871.702852900147,3.657069208425051,6.008042265834261,40:07.8,,,,,
22,7500,7500,40,8341.498008,7494.717979,80,1,10,0.5,0.6,0,841.5145857526134,6469.6903017569775,0.5049087504417505,0.8294929464433104,40:17.8,,,,,
31,7500,7500,40,6494.927616,11215.48057,60,1,10,0.5,0.6,2,3849.021480645092,6305.898500437485,2.3094128837682293,3.794035448652918,40:27.8,,,,,
6,7500,7500,40,5467.100887,12553.44178,100,1,10,0.5,0.6,2,5447.013186458027,6255.375834909282,3.268207905,5.369198697025201,40:37.8,,,,,
91,7500,7500,40,5128.264356,14907.51091,60,1,5,0.5,0.6,2,7777.9398192704275,6339.962722929346,4.666763882228729,7.666826371375631,40:47.8,,,,,
81,7500,7500,40,9873.997627,3681.471824,100,1,10,0.5,0.6,3,4496.334302827606,6242.929648187149,2.697800576300962,4.432100942981209,40:57.8,,,,,
85,7500,7500,40,10860.239,3479.063823,100,1,10,0.5,0.6,3,5240.146360798763,6192.790483817729,3.1440878101910825,5.165287112315103,41:07.8,,,,,
59,7500,7500,40,2990.480098,8921.00726,80,1,10,0.5,0.6,2,4728.110762189587,6123.043830406866,2.8368664516400193,4.660566309413832,41:17.8,,,,,
45,7500,7500,40,9799.167149,12799.88681,60,1,5,0.5,0.6,0,5777.1073846601075,6107.319446509286,3.4662644238635356,5.694577262894741,41:27.8,,,,,
14,7500,7500,40,13845.78935,13818.43945,100,1,5,0.5,0.6,0,8954.982945,6231.130903,5.372989756372773,8.827054592189223,41:37.8,,,,,
25,7500,7500,40,13278.88298,4938.419862,80,1,10,0.5,0.6,3,6321.169298621509,6234.882502792655,3.7927015715875023,6.230866862267296,41:47.8,,,,,
46,7500,7500,40,3215.980803,10599.51285,80,1,10,0.5,0.6,2,5287.702748907766,6196.995312637259,3.1726216429994163,5.212164123317186,41:57.8,,,,,
89,7500,7500,40,2054.703351,11671.64767,80,1,5,0.5,0.6,2,6859.584528086962,6222.479513231479,4.115750708620675,6.7615904440811745,42:07.8,,,,,
61,7500,7500,40,10487.79436,8002.435253,100,1,5,0.5,0.6,0,3029.7452553684784,6104.230096,1.8178471495853927,2.9864631717590338,42:17.8,,,,,
27,7500,7500,40,11393.78351,3389.942379,60,1,5,0.5,0.6,3,5661.636132289707,6088.423168988452,3.396981672579861,5.580755600169123,42:27.8,,,,,
56,7500,7500,40,13974.29371,6299.180854,100,1,5,0.5,0.6,3,6584.713032983669,6105.536612574494,3.9508278118885456,6.490645685396343,42:37.8,,,,,
11,7500,7500,40,1223.55671,8060.709983,100,1,10,0.5,0.6,2,6301.439205652117,6112.0666990104155,3.780863515829543,6.211418627824462,42:47.8,,,,,
10,7500,7500,40,2403.639692,10876.68715,60,1,5,0.5,0.6,2,6113.501822360952,6112.112993312046,3.668101086080369,6.026166064823892,42:57.8,,,,,
2,7500,7500,40,6474.993212,13308.31571,80,1,5,0.5,0.6,2,5898.064962741653,6105.423992356721,3.538838970567314,5.813806875234467,43:07.8,,,,,
86,7500,7500,40,6474.993212,13308.31571,80,1,5,0.5,0.6,2,5898.064962741653,6099.1403853986885,3.538838970567314,5.813806875234467,43:17.8,,,,,
56,7500,7500,40,12229.61446,3897.787531,60,1,5,0.5,0.6,3,5945.181880331639,6094.612194073187,3.567109121064765,5.860250693869042,43:27.8,,,,,
38,7500,7500,40,6435.220287,4852.606078,60,1,5,0.5,0.6,1,2853.4979264470567,6002.008929283868,1.7120987524440365,2.812733662318574,43:37.8,,,,,
69,7500,7500,40,10110.87204,268.0856836,100,1,10,0.5,0.6,3,7688.773472571794,6048.863499930756,4.613264074316548,7.578933829880957,43:47.8,,,,,
53,7500,7500,40,14738.8937,3858.324347,80,1,5,0.5,0.6,3,8103.294609692649,6104.388665059456,4.861976756091636,7.987533235304086,43:57.8,,,,,
73,7500,7500,40,9336.100367,1514.146199,60,1,10,0.5,0.6,3,6261.1269182395545,6108.513355932616,3.756676143,6.171682230345611,44:07.8,,,,,
20,7500,7500,40,85.36466433,7773.304258,80,1,10,0.5,0.6,2,7419.670638132307,6142.132773424916,4.451802374,7.313675322405629,44:17.8,,,,,
77,7500,7500,40,5157.685134,9422.049421,60,1,5,0.5,0.6,2,3029.9691262986375,6064.328682246759,1.8179814721432195,2.986683844532417,44:27.8,,,,,
56,7500,7500,40,11279.86412,9908.108612,100,1,10,0.5,0.6,0,4481.780879,6025.729955346487,2.689068522223241,4.417755425580104,44:37.8,,,,,
95,7500,7500,40,2403.639692,10876.68715,60,1,5,0.5,0.6,2,6113.501822360952,6027.819761703975,3.668101086080369,6.026166064823892,44:47.8,,,,,
84,7500,7500,40,2054.703351,11671.64767,80,1,5,0.5,0.6,2,6859.584528086962,6047.1631283640445,4.115750708620675,6.7615904440811745,44:57.8,,,,,
55,7500,7500,40,11501.78424,8967.853427,100,1,10,0.5,0.6,0,4262.495835,6006.602508067147,2.557497496065311,4.2016030256487795,45:07.8,,,,,
79,7500,7500,40,14159.68981,7322.618189,80,1,10,0.5,0.6,0,6662.051685757631,6021.168045349158,3.9972310034601164,6.566879500055723,45:17.8,,,,,
36,7500,7500,40,4566.872412,9442.299224,60,1,10,0.5,0.6,2,3517.9203690037516,5966.749617602518,2.1107522171807465,3.4676643538246568,45:27.8,,,,,
68,7500,7500,40,6243.547815,1429.448953,60,1,10,0.5,0.6,1,6199.214636277222,5971.695681829639,3.7195287743272756,6.110654409728534,45:37.8,,,,,
17,7500,7500,40,3138.731113,13836.58568,60,1,5,0.5,0.6,2,7692.397831820928,6007.543643287791,4.615438689861679,7.582506412559182,45:47.8,,,,,
12,7500,7500,40,11501.78424,8967.853427,100,1,10,0.5,0.6,0,4262.495835,5971.930422716623,2.557497496065311,4.2016030256487795,45:57.8,,,,,
16,7500,7500,40,8430.512405,11272.07625,100,1,5,0.5,0.6,0,3885.152842341574,5930.194871109122,2.331091700742761,3.829650647937692,46:07.8,,,,,
56,7500,7500,40,10110.87204,268.0856836,100,1,10,0.5,0.6,3,7688.773472571794,5964.676804471135,4.613264074316548,7.578933829880957,46:17.8,,,,,
38,7500,7500,40,4960.635668,12191.82407,60,1,5,0.5,0.6,2,5334.939954755136,5952.566480438136,3.2009639664511536,5.258726511805128,46:27.8,,,,,
95,7500,7500,40,5548.933197,6200.384409,80,1,5,0.5,0.6,1,2344.282908264464,5884.4856583216515,1.4065697421455388,2.310793145829848,46:37.8,,,,,
26,7500,7500,40,10070.24674,14685.0816,80,1,5,0.5,0.6,0,7630.961009,5916.827794445294,4.578576596241838,7.521947258807065,46:47.8,,,,,
61,7500,7500,40,1254.486976,14678.53183,60,1,10,0.5,0.6,2,9515.132797456183,5982.251521772764,5.709079667,9.379202302123371,46:57.8,,,,,
76,7500,7500,40,13356.43417,9188.967159,100,1,5,0.5,0.6,0,6095.115359565316,5984.266947447631,3.657069208425051,6.008042265834261,47:07.8,,,,,
70,7500,7500,40,10860.239,3479.063823,100,1,10,0.5,0.6,3,5240.146360798763,5971.2122,3.1440878101910825,5.165287112315103,47:17.8,,,,,
18,7500,7500,40,85.36466433,7773.304258,80,1,10,0.5,0.6,2,7419.670638132307,5996.185621655145,4.451802374,7.313675322405629,47:27.8,,,,,
23,7500,7500,40,13130.08133,11296.44446,60,1,10,0.5,0.6,0,6790.493819283022,6009.648472462397,4.074296283421221,6.693486745597587,47:37.8,,,,,
64,7500,7500,40,6435.220287,4852.606078,60,1,5,0.5,0.6,1,2853.4979264470567,5957.045963362141,1.7120987524440365,2.812733662318574,47:47.8,,,,,
24,7500,7500,40,4566.872412,9442.299224,60,1,10,0.5,0.6,2,3517.9203690037516,5917.0602978808565,2.1107522171807465,3.4676643538246568,47:57.8,,,,,
90,7500,7500,40,1254.486976,14678.53183,60,1,10,0.5,0.6,2,9515.132797456183,5975.093725293361,5.709079667,9.379202302123371,48:07.8,,,,,
26,7500,7500,40,691.488384,12941.8193,80,1,10,0.5,0.6,2,8716.032798056172,6018.600694702295,5.229619668374464,8.591518019251032,48:17.8,,,,,
41,7500,7500,40,6922.173951,1993.141259,100,1,5,0.5,0.6,1,5537.090945667411,6011.077104873625,3.3222545607559373,5.457989630849333,48:27.8,,,,,
64,7500,7500,40,4960.635668,12191.82407,60,1,5,0.5,0.6,2,5334.939954755136,6000.6749948718025,3.2009639664511536,5.258726511805128,48:37.8,,,,,
2,7500,7500,40,10309.62189,4724.697836,60,1,5,0.5,0.6,3,3949.212231,5969.592225724524,2.3695273339517913,3.8927949024412607,48:47.8,,,,,
9,7500,7500,40,14053.19385,2754.27756,80,1,5,0.5,0.6,3,8091.120512945352,6001.256827026326,4.854672298057866,7.975533054258894,48:57.8,,,,,
13,7500,7500,40,8773.043233,7878.254343,80,1,5,0.5,0.6,0,1328.0494801750415,5932.533189572631,0.7968296865113654,1.3090773410037484,49:07.8,,,,,
67,7500,7500,40,2069.325051,8746.535672,100,1,10,0.5,0.6,2,5571.901074653894,5927.306637182504,3.343140638106055,5.492302472180831,49:17.8,,,,,
